,centries,titles,authors,scores,votes,website,average rating,times rated
16610,20th,The Mark of the Horse Lord,Rosemary Sutcliff,29,1,https://www.goodreads.com/book/show/149403.The_Mark_of_the_Horse_Lord,4.18,898.0
16611,20th,Cinder Edna,Ellen Jackson,29,1,https://www.goodreads.com/book/show/434076.Cinder_Edna,4.16,3202.0
16612,20th,Molly: An American Girl : 1944,Valerie Tripp,29,1,https://www.goodreads.com/book/show/814677.Molly,3.97,5368.0
16613,20th,On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,29,1,https://www.goodreads.com/book/show/53343.On_Writing_Well,4.24,25537.0
16614,20th,Shades of Twilight,Linda Howard,29,1,https://www.goodreads.com/book/show/439941.Shades_of_Twilight,4.11,9845.0
16615,20th,The Golden Name Day (Golden Name Day #1),Jennie D. Lindquist,29,1,https://www.goodreads.com/book/show/945276.The_Golden_Name_Day,4.18,622.0
16616,20th,The Appointment,Herta Müller,29,1,https://www.goodreads.com/book/show/2050213.The_Appointment,3.4,3437.0
16617,20th,Dialogues with the Devil,Taylor Caldwell,29,1,https://www.goodreads.com/book/show/952130.Dialogues_with_the_Devil,4.06,455.0
16618,20th,"An Acceptable Time (Time Quintet, #5)",Madeleine L'Engle,29,1,https://www.goodreads.com/book/show/24761.An_Acceptable_Time,3.8,20993.0
16619,20th,Every Eye,Isobel English,29,1,https://www.goodreads.com/book/show/2702244-every-eye,3.46,223.0
16620,20th,Concerning the Spiritual in Art,Wassily Kandinsky,29,1,https://www.goodreads.com/book/show/857502.Concerning_the_Spiritual_in_Art,3.83,82115.0
16621,20th,"Who in Hell Is Wanda Fuca? (Leo Waterman, #1)",G.M. Ford,29,1,https://www.goodreads.com/book/show/351138.Who_in_Hell_Is_Wanda_Fuca_,3.87,2174.0
16622,20th,Halley's Bible Handbook: An Abbreviated Bible Commentary,Henry H. Halley,29,1,https://www.goodreads.com/book/show/1563185.Halley_s_Bible_Handbook,4.32,2233.0
16623,20th,Homesteading,Percy Wollaston,29,1,https://www.goodreads.com/book/show/1263128.Homesteading,3.75,55.0
16624,20th,The Stoning of Soraya M.: A True Story,Freidoune Sahebjam,29,1,https://www.goodreads.com/book/show/194237.The_Stoning_of_Soraya_M_,3.94,3133.0
16625,20th,Secrets of the Shopping Mall,Richard Peck,28,1,https://www.goodreads.com/book/show/39978.Secrets_of_the_Shopping_Mall,3.65,449.0
16626,20th,The Bridesmaid,Ruth Rendell,28,1,https://www.goodreads.com/book/show/776329.The_Bridesmaid,3.65,1967.0
16627,20th,My Life and Hard Times,James Thurber,28,3,https://www.goodreads.com/book/show/72995.My_Life_and_Hard_Times,4.12,3394.0
16628,20th,Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,Gordon B. Hinckley,28,1,https://www.goodreads.com/book/show/596259.Standing_for_Something,4.6,14295.0
16629,20th,After the Night,Linda Howard,28,1,https://www.goodreads.com/book/show/420739.After_the_Night,4.07,24306.0
16630,20th,"The Bum's Rush (Leo Waterman, #3)",G.M. Ford,28,1,https://www.goodreads.com/book/show/1321148.The_Bum_s_Rush,3.98,1293.0
16631,20th,Felicity: An American Girl,Valerie Tripp,28,1,https://www.goodreads.com/book/show/199859.Felicity,4.03,7151.0
16632,20th,Critique of Modern Youth Ministry,Christopher Schlect,28,1,https://www.goodreads.com/book/show/2074624.Critique_of_Modern_Youth_Ministry,4.38,91.0
16633,20th,The Silver Branch,Rosemary Sutcliff,28,1,https://www.goodreads.com/book/show/159806.The_Silver_Branch,3.93,2506.0
16634,20th,"The Case of the Borrowed Brunette (Perry Mason, #28)",Erle Stanley Gardner,28,2,https://www.goodreads.com/book/show/1681319.The_Case_of_the_Borrowed_Brunette,3.83,696.0
16635,20th,Piccadilly Jim,P.G. Wodehouse,28,1,https://www.goodreads.com/book/show/2204005.Piccadilly_Jim,4.03,4548.0
16636,20th,Tony and Susan,Austin Wright,28,1,https://www.goodreads.com/book/show/2177370.Tony_and_Susan,3.18,8846.0
16637,20th,Rolling Stone Encyclopedia of Rock & Roll,Rolling Stone Magazine,28,1,https://www.goodreads.com/book/show/70405.Rolling_Stone_Encyclopedia_of_Rock_Roll,4.08,578.0
16638,20th,Infatuarea fatală: erorile socialismului,Friedrich A. Hayek,28,1,https://www.goodreads.com/book/show/29274658-infatuarea-fatal,4.25,2050.0
16639,20th,Owls in the Family,Farley Mowat,28,1,https://www.goodreads.com/book/show/785656.Owls_in_the_Family,4.08,4948.0
16640,20th,John F. Kennedy: The Inaugural Address,John F. Kennedy,28,1,https://www.goodreads.com/book/show/9542963-john-f-kennedy,4.49,219.0
16641,20th,Sonnets to Orpheus,Rainer Maria Rilke,28,1,https://www.goodreads.com/book/show/205134.Sonnets_to_Orpheus,4.28,3084.0
16642,20th,Winter Words: Poetry and Personal Writings of Thomas Hardy,Thomas Hardy,28,1,https://www.goodreads.com/book/show/392521.Winter_Words,3.89,36.0
16643,20th,A Dynasty of Western Outlaws,Paul I. Wellman,28,1,https://www.goodreads.com/book/show/1746654.A_Dynasty_of_Western_Outlaws,3.88,48.0
16644,20th,On the Trail of the Assassins: One Man's Quest to Solve the Murder of President Kennedy,Jim Garrison,28,1,https://www.goodreads.com/book/show/18867530-on-the-trail-of-the-assassins,4.04,1761.0
16645,20th,Colas Breugnon,Romain Rolland,27,1,https://www.goodreads.com/book/show/1272809.Colas_Breugnon,3.79,485.0
16646,20th,Find a Victim (Lew Archer #5),Ross Macdonald,27,1,https://www.goodreads.com/book/show/171748.Find_a_Victim,3.93,1280.0
16647,20th,"Don Quixote, U.S.A.",Richard Powell,27,1,https://www.goodreads.com/book/show/11921099-don-quixote-u-s-a,4.32,193.0
16648,20th,Among the Shadows: Tales from the Darker Side,L.M. Montgomery,27,2,https://www.goodreads.com/book/show/753322.Among_the_Shadows,3.86,1809.0
16649,20th,The Woman's Comfort Book,Jennifer Louden,27,1,https://www.goodreads.com/book/show/1107329.The_Woman_s_Comfort_Book,3.98,1210.0
16650,20th,Hitchcock,François Truffaut,27,1,https://www.goodreads.com/book/show/393601.Hitchcock,4.48,7278.0
16651,20th,"The Arctic Grail: The Quest for the Northwest Passage and the North Pole, 1818-1909",Pierre Berton,27,1,https://www.goodreads.com/book/show/2019793.The_Arctic_Grail,4.36,653.0
16652,20th,"Charming the Prince (Once Upon a Time, #1)",Teresa Medeiros,27,1,https://www.goodreads.com/book/show/450924.Charming_the_Prince,3.91,6075.0
16653,20th,Final Flight (Jake Grafton #3),Stephen Coonts,27,1,https://www.goodreads.com/book/show/1996247.Final_Flight,4.05,6008.0
16654,20th,Meet Addy,Connie Rose Porter,27,1,https://www.goodreads.com/book/show/7503246-meet-addy,4.1,9529.0
16655,20th,The Terrible Troll-Bird,Ingri d'Aulaire,27,1,https://www.goodreads.com/book/show/1172005.The_Terrible_Troll_Bird,3.81,101.0
16656,20th,Bear Island,Alistair MacLean,27,1,https://www.goodreads.com/book/show/1934327.Bear_Island,3.59,3514.0
16657,20th,There Was an Old Lady Who Swallowed a Fly,Simms Taback,27,1,https://www.goodreads.com/book/show/205330.There_Was_an_Old_Lady_Who_Swallowed_a_Fly,4.22,59029.0
16658,20th,A History of the Christian Church,Williston Walker,27,1,https://www.goodreads.com/book/show/770143.A_History_of_the_Christian_Church,3.84,172.0
16659,20th,Wicked Loving Lies (Brandon-Morgan #6),Rosemary Rogers,27,1,https://www.goodreads.com/book/show/448077.Wicked_Loving_Lies,3.91,2059.0
16660,20th,Exercises in Style,Raymond Queneau,27,1,https://www.goodreads.com/book/show/319790.Exercises_in_Style,4.07,9966.0
16661,20th,"Αριάγνη (Ακυβέρνητες πολιτείες, #2)",Στρατής Τσίρκας,27,1,https://www.goodreads.com/book/show/9531599,4.32,517.0
16662,20th,Aurélien,Louis Aragon,27,1,https://www.goodreads.com/book/show/379107.Aur_lien,4.28,1265.0
16663,20th,Zeul care a dat greş,Richard Crossman,27,1,https://www.goodreads.com/book/show/20569345-zeul-care-a-dat-gre,3.98,346.0
16664,20th,Mr. Bridge,Evan S. Connell,27,1,https://www.goodreads.com/book/show/129975.Mr_Bridge,4.01,2161.0
16665,20th,"Much Obliged, Jeeves (Jeeves, #14)",P.G. Wodehouse,27,1,https://www.goodreads.com/book/show/2960227-much-obliged-jeeves,4.21,5438.0
16666,20th,Walkabout,James Vance Marshall,27,1,https://www.goodreads.com/book/show/1141654.Walkabout,3.49,2303.0
16667,20th,The Cup of Fury,Upton Sinclair,27,1,https://www.goodreads.com/book/show/544555.The_Cup_of_Fury,3.43,49.0
16668,20th,Through My Eyes,Ruby Bridges,27,1,https://www.goodreads.com/book/show/58382.Through_My_Eyes,4.46,5248.0
16669,20th,Foxfire: Confessions of a Girl Gang,Joyce Carol Oates,26,1,https://www.goodreads.com/book/show/303564.Foxfire,3.79,7399.0
